Section,SOP Class Description,SOP Class UID,Name,Messages
Y.6.1.3,Composite Instance Root Retrieve - MOVE,1.2.840.10008.5.1.4.1.2.4.2,COMPOSITE_INSTANCE_ROOT_RET_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
B.5,Compositing Planar MPR Volumetric Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.7,COMPOSITE_PLANAR_MPR_PS,"C-STORE-RQ,C-STORE-RSP"
B.5,Comprehensive 3D SR Storage,1.2.840.10008.5.1.4.1.1.88.34,COMPREHENSIVE_3D_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,Comprehensive SR Storage,1.2.840.10008.5.1.4.1.1.88.33,STANDARD_COMPREHENSIVE_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,Computed Radiography Image Storage,1.2.840.10008.5.1.4.1.1.1,STANDARD_CR,"C-STORE-RQ,C-STORE-RSP"
B.5,Content Assessment Results Storage,1.2.840.10008.5.1.4.1.1.90.1,CONTENT_ASSESSMENT_RESULTS,"C-STORE-RQ,C-STORE-RSP"
B.5,Corneal Topography Map Storage,1.2.840.10008.5.1.4.1.1.82.1,CORNEAL_TOPOGRAPHY_MAP,"C-STORE-RQ,C-STORE-RSP"
HH.6.1.4,Defined Procedure Protocol Information Model - FIND,1.2.840.10008.5.1.4.20.1,DEFINED_PROCEDURE_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
HH.6.1.4,Defined Procedure Protocol Information Model - GET,1.2.840.10008.5.1.4.20.3,DEFINED_PROCEDURE_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
HH.6.1.4,Defined Procedure Protocol Information Model - MOVE,1.2.840.10008.5.1.4.20.2,DEFINED_PROCEDURE_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
B.5,Deformable Spatial Registration Storage,1.2.840.10008.5.1.4.1.1.66.3,DEFORMABLE_SPATIAL_REGISTRATION,"C-STORE-RQ,C-STORE-RSP"
B.5,Digital Intra-Oral X-Ray Image Storage - For Presentation,1.2.840.10008.5.1.4.1.1.1.3,STANDARD_IO_PRESENT,"C-STORE-RQ,C-STORE-RSP"
B.5,Digital Intra-Oral X-Ray Image Storage - For Processing,1.2.840.10008.5.1.4.1.1.1.3.1,STANDARD_IO_PROCESS,"C-STORE-RQ,C-STORE-RSP"
B.5,Digital Mammography X-Ray Image Storage - For Presentation,1.2.840.10008.5.1.4.1.1.1.2,STANDARD_MG_PRESENT,"C-STORE-RQ,C-STORE-RSP"
B.5,Digital Mammography X-Ray Image Storage - For Processing,1.2.840.10008.5.1.4.1.1.1.2.1,STANDARD_MG_PROCESS,"C-STORE-RQ,C-STORE-RSP"
B.5,Digital X-Ray Image Storage - For Presentation,1.2.840.10008.5.1.4.1.1.1.1,STANDARD_DX_PRESENT,"C-STORE-RQ,C-STORE-RSP"
B.5,Digital X-Ray Image Storage - For Processing,1.2.840.10008.5.1.4.1.1.1.1.1,STANDARD_DX_PROCESS,"C-STORE-RQ,C-STORE-RSP"
B.5,Encapsulated CDA Storage,1.2.840.10008.5.1.4.1.1.104.2,ENCAPSULATED_CDA,"C-STORE-RQ,C-STORE-RSP"
B.5,Encapsulated PDF Storage,1.2.840.10008.5.1.4.1.1.104.1,STANDARD_ENCAPSULATED_PDF,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced CT Image Storage,1.2.840.10008.5.1.4.1.1.2.1,ENHANCED_CT_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced MR Color Image Storage,1.2.840.10008.5.1.4.1.1.4.3,ENHANCED_MR_COLOR_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced MR Image Storage,1.2.840.10008.5.1.4.1.1.4.1,ENHANCED_MR_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced PET Image Storage,1.2.840.10008.5.1.4.1.1.130,ENHANCED_PET_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced SR Storage,1.2.840.10008.5.1.4.1.1.88.22,STANDARD_ENHANCED_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced US Volume Storage,1.2.840.10008.5.1.4.1.1.6.2,ENHANCED_US_VOLUME,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced XA Image Storage,1.2.840.10008.5.1.4.1.1.12.1.1,ENHANCED_XA_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Enhanced XRF Image Storage,1.2.840.10008.5.1.4.1.1.12.2.1,ENHANCED_XRF_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Extensible SR Storage,1.2.840.10008.5.1.4.1.1.88.35,EXTENSIBLE_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,General Audio Waveform Storage,1.2.840.10008.5.1.4.1.1.9.4.2,GENERAL_AUDIO_WAVEFORM,"C-STORE-RQ,C-STORE-RSP"
B.5,General ECG Waveform Storage,1.2.840.10008.5.1.4.1.1.9.1.2,STANDARD_WAVEFORM_GENERAL_ECG,"C-STORE-RQ,C-STORE-RSP"
Q.4.3.3,General Relevant Patient Information Query,1.2.840.10008.5.1.4.37.1,GENERAL_RPI_QUERY,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
BB.6.1.4,Generic Implant Template Information Model - FIND,1.2.840.10008.5.1.4.43.2,GENERIC_IMPLANT_TEMPLATE_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
BB.6.1.4,Generic Implant Template Information Model - GET,1.2.840.10008.5.1.4.43.4,GENERIC_IMPLANT_TEMPLATE_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
BB.6.1.4,Generic Implant Template Information Model - MOVE,1.2.840.10008.5.1.4.43.3,GENERIC_IMPLANT_TEMPLATE_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
GG.3,Generic Implant Template Storage,1.2.840.10008.5.1.4.43.1,GENERIC_IMPLANT_TEMPLATE,"C-STORE-RQ,C-STORE-RSP"
B.5,Grayscale Planar MPR Volumetric Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.6,GRAYSCALE_PLANAR_MPR_PS,"C-STORE-RQ,C-STORE-RSP"
B.5,Grayscale Softcopy Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.1,STANDARD_GRAYSCALE_SOFTCOPY_PS,"C-STORE-RQ,C-STORE-RSP"
U.6.1.4,Hanging Protocol Information Model - FIND,1.2.840.10008.5.1.4.38.2,HANGING_PROTOCOL_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
U.6.1.4,Hanging Protocol Information Model - GET,1.2.840.10008.5.1.4.38.4,HANGING_PROTOCOL_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
U.6.1.4,Hanging Protocol Information Model - MOVE,1.2.840.10008.5.1.4.38.3,HANGING_PROTOCOL_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
GG.3,Hanging Protocol Storage,1.2.840.10008.5.1.4.38.1,HANGING_PROTOCOL,"C-STORE-RQ,C-STORE-RSP"
B.5,Hemodynamic Waveform Storage,1.2.840.10008.5.1.4.1.1.9.2.1,STANDARD_WAVEFORM_HEMODYNAMIC,"C-STORE-RQ,C-STORE-RSP"
BB.6.1.4,Implant Assembly Template Information Model - FIND,1.2.840.10008.5.1.4.44.2,IMPLANT_ASSEMBLY_TEMPLATE_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
BB.6.1.4,Implant Assembly Template Information Model - GET,1.2.840.10008.5.1.4.44.4,IMPLANT_ASSEMBLY_TEMPLATE_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
BB.6.1.4,Implant Assembly Template Information Model - MOVE,1.2.840.10008.5.1.4.44.3,IMPLANT_ASSEMBLY_TEMPLATE_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
GG.3,Implant Assembly Template Storage,1.2.840.10008.5.1.4.44.1,IMPLANT_ASSEMBLY_TEMPLATE,"C-STORE-RQ,C-STORE-RSP"
BB.6.1.4,Implant Template Group Information Model - FIND,1.2.840.10008.5.1.4.45.2,IMPLANT_TEMPLATE_GROUP_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
BB.6.1.4,Implant Template Group Information Model - GET,1.2.840.10008.5.1.4.45.4,IMPLANT_TEMPLATE_GROUP_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
BB.6.1.4,Implant Template Group Information Model - MOVE,1.2.840.10008.5.1.4.45.3,IMPLANT_TEMPLATE_GROUP_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
GG.3,Implant Template Group Storage,1.2.840.10008.5.1.4.45.1,IMPLANT_TEMPLATE_GROUP,"C-STORE-RQ,C-STORE-RSP"
B.5,Implantation Plan SR Document Storage,1.2.840.10008.5.1.4.1.1.88.70,IMPLANTATION_PLAN_SR_DOCUMENT,"C-STORE-RQ,C-STORE-RSP"
R.3.3,Instance Availability Notification SOP Class,1.2.840.10008.5.1.4.33,INSTANCE_AVAIL_NOTIFICATION,"N-CREATE-RQ,N-CREATE-RSP"
B.5,Intraocular Lens Calculations Storage,1.2.840.10008.5.1.4.1.1.78.8,INTRAOCULAR_LENS_CALCULATIONS,"C-STORE-RQ,C-STORE-RSP"
B.5,Intravascular Optical Coherence Tomography Image Storage - For Presentation,1.2.840.10008.5.1.4.1.1.14.1,STANDARD_IVOCT_PRESENT,"C-STORE-RQ,C-STORE-RSP"
B.5,Intravascular Optical Coherence Tomography Image Storage - For Processing,1.2.840.10008.5.1.4.1.1.14.2,STANDARD_IVOCT_PROCESS,"C-STORE-RQ,C-STORE-RSP"
B.5,Keratometry Measurements Storage,1.2.840.10008.5.1.4.1.1.78.3,KERATOMETRY_MEASUREMENTS,"C-STORE-RQ,C-STORE-RSP"
B.5,Key Object Selection Storage,1.2.840.10008.5.1.4.1.1.88.59,KEY_OBJECT_SELECTION_DOC,"C-STORE-RQ,C-STORE-RSP"
B.5,Legacy Converted Enhanced CT Image Storage,1.2.840.10008.5.1.4.1.1.2.2,LEGACY_CONVERTED_ENHANCED_CT_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Legacy Converted Enhanced MR Image Storage,1.2.840.10008.5.1.4.1.1.4.4,LEGACY_CONVERTED_ENHANCED_MR_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Legacy Converted Enhanced PET Image Storage,1.2.840.10008.5.1.4.1.1.128.1,LEGACY_CONVERTED_ENHANCED_PET_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Lensometry Measurements Storage,1.2.840.10008.5.1.4.1.1.78.1,LENSOMETRY_MEASUREMENTS,"C-STORE-RQ,C-STORE-RSP"
B.5,MR Image Storage,1.2.840.10008.5.1.4.1.1.4,STANDARD_MR,"C-STORE-RQ,C-STORE-RSP"
B.5,MR Spectroscopy Storage,1.2.840.10008.5.1.4.1.1.4.2,MR_SPECTROSCOPY,"C-STORE-RQ,C-STORE-RSP"
B.5,Macular Grid Thickness and Volume Report,1.2.840.10008.5.1.4.1.1.79.1,MACULAR_GRID_THIICKNESS_VOLUME,"C-STORE-RQ,C-STORE-RSP"
B.5,Mammography CAD SR Storage,1.2.840.10008.5.1.4.1.1.88.50,MAMMOGRAPHY_CAD_SR,"C-STORE-RQ,C-STORE-RSP"
S.3.3,Media Creation Management SOP Class,1.2.840.10008.5.1.1.33,MEDIA_CREATION_MANAGEMENT,"N-CREATE-RQ,N-CREATE-RSP,N-SET-RQ,N-SET-RSP,N-DELETE-RQ,N-DELETE-RSP,N-ACTION-RQ,N-ACTION-RSP"
I.4,Media Storage Directory Storage,1.2.840.10008.1.3.10,DICOMDIR,FILE
F.9.3,Modality Performed Procedure Step Notification SOP Class,1.2.840.10008.3.1.2.3.5,PERFORMED_PROCEDURE_STEP_NOTIFY,"N-EVENT-REPORT-RQ,N-EVENT-REPORT-RSP"
F.8.3,Modality Performed Procedure Step Retrieve SOP Class,1.2.840.10008.3.1.2.3.4,PERFORMED_PROCEDURE_STEP_RETR,"N-GET-RQ,N-GET-RSP"
F.7.3,Modality Performed Procedure Step SOP Class,1.2.840.10008.3.1.2.3.3,PERFORMED_PROCEDURE_STEP,"N-CREATE-RQ,N-CREATE-RSP,N-SET-RQ,N-SET-RSP"
K.6.1.4,Modality Worklist Information Model - FIND,1.2.840.10008.5.1.4.31,MODALITY_WORKLIST_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
B.5,Multi-frame Grayscale Byte Secondary Capture Image Storage,1.2.840.10008.5.1.4.1.1.7.2,SC_MULTIFRAME_GRAYSCALE_BYTE,"C-STORE-RQ,C-STORE-RSP"
B.5,Multi-frame Grayscale Word Secondary Capture Image Storage,1.2.840.10008.5.1.4.1.1.7.3,SC_MULTIFRAME_GRAYSCALE_WORD,"C-STORE-RQ,C-STORE-RSP"
B.5,Multi-frame Single Bit Secondary Capture Image Storage,1.2.840.10008.5.1.4.1.1.7.1,SC_MULTIFRAME_SINGLE_BIT,"C-STORE-RQ,C-STORE-RSP"
B.5,Multi-frame True Color Secondary Capture Image Storage,1.2.840.10008.5.1.4.1.1.7.4,SC_MULTIFRAME_TRUE_COLOR,"C-STORE-RQ,C-STORE-RSP"
B.5,Nuclear Medicine Image Storage,1.2.840.10008.5.1.4.1.1.20,STANDARD_NM,"C-STORE-RQ,C-STORE-RSP"
B.6,Nuclear Medicine Image Storage,1.2.840.10008.5.1.4.1.1.5,STANDARD_NM_RETIRED,"C-STORE-RQ,C-STORE-RSP"
B.5,Ophthalmic Axial Measurements Storage,1.2.840.10008.5.1.4.1.1.78.7,OPHTHALMIC_AXIAL_MEASUREMENTS,"C-STORE-RQ,C-STORE-RSP"
B.5,Ophthalmic Photography 16 Bit Image Storage,1.2.840.10008.5.1.4.1.1.77.1.5.2,STANDARD_OPHTHALMIC_16_BIT,"C-STORE-RQ,C-STORE-RSP"
B.5,Ophthalmic Photography 8 Bit Image Storage,1.2.840.10008.5.1.4.1.1.77.1.5.1,STANDARD_OPHTHALMIC_8_BIT,"C-STORE-RQ,C-STORE-RSP"
B.5,Ophthalmic Thickness Map Storage,1.2.840.10008.5.1.4.1.1.81.1,OPM_THICKNESS_MAP,"C-STORE-RQ,C-STORE-RSP"
B.5,Ophthalmic Tomography Image Storage,1.2.840.10008.5.1.4.1.1.77.1.5.4,OPHTHALMIC_TOMOGRAPHY_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Ophthalmic Visual Field Static Perimetry Measurements Storage,1.2.840.10008.5.1.4.1.1.80.1,OPHT_VIS_FIELD_STATIC_PERIM_MEAS,"C-STORE-RQ,C-STORE-RSP"
B.5,Parametric Map Storage,1.2.840.10008.5.1.4.1.1.30,PARAMETRIC_MAP,"C-STORE-RQ,C-STORE-RSP"
C.6.1.3,Patient Root Query/Retrieve Information Model - FIND,1.2.840.10008.5.1.4.1.2.1.1,PATIENT_ROOT_QR_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
C.6.1.3,Patient Root Query/Retrieve Information Model - GET,1.2.840.10008.5.1.4.1.2.1.3,PATIENT_ROOT_QR_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
C.6.1.3,Patient Root Query/Retrieve Information Model - MOVE,1.2.840.10008.5.1.4.1.2.1.2,PATIENT_ROOT_QR_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
B.5,Positron Emission Tomography Image Storage,1.2.840.10008.5.1.4.1.1.128,STANDARD_PET,"C-STORE-RQ,C-STORE-RSP"
H.4.9.2.4,Presentation LUT SOP Class UID,1.2.840.10008.5.1.1.23,PRESENTATION_LUT,"N-CREATE-RQ,N-CREATE-RSP,N-DELETE-RQ,N-DELETE-RSP"
H.4.5.4,Print Job SOP Class UID,1.2.840.10008.5.1.1.14,PRINT_JOB,"N-EVENT-REPORT-RQ,N-EVENT-REPORT-RSP,N-GET-RQ,N-GET-RSP"
H.4.11.3,Printer Configuration Retrieval SOP Class UID,1.2.840.10008.5.1.1.16.376,PRINTER_CONFIGURATION,"N-GET-RQ,N-GET-RSP"
H.4.6.4,Printer SOP Class UID,1.2.840.10008.5.1.1.16,PRINTER,"N-EVENT-REPORT-RQ,N-EVENT-REPORT-RSP,N-GET-RQ,N-GET-RSP"
P.2.3,Procedural Event Logging SOP Class,1.2.840.10008.1.40,PROCEDURAL_EVENT_LOGGING,"N-ACTION-RQ,N-ACTION-RSP"
B.5,Procedure Log Storage,1.2.840.10008.5.1.4.1.1.88.40,PROCEDURE_LOG,"C-STORE-RQ,C-STORE-RSP"
V.6.1.4,Product Characteristics Query Information Model - FIND,1.2.840.10008.5.1.4.41,PRODUCT_CHARACTERISTICS_QUERY,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
B.5,Pseudo-Color Softcopy Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.3,STANDARD_PSEUDOCOLOR_SOFTCOPY_PS,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Beams Delivery Instruction Storage,1.2.840.10008.5.1.4.34.7,RT_BEAMS_DELIVERY_INSTRUCTION,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Beams Treatment Record Storage,1.2.840.10008.5.1.4.1.1.481.4,STANDARD_RT_BEAMS_TREAT,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Brachy Application Setup Delivery Instruction Storage,1.2.840.10008.5.1.4.34.10,STANDARD_RT_BRACHY_SETUP,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Brachy Treatment Record Storage,1.2.840.10008.5.1.4.1.1.481.6,STANDARD_RT_BRACHY_TREAT,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Dose Storage,1.2.840.10008.5.1.4.1.1.481.2,STANDARD_RT_DOSE,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Image Storage,1.2.840.10008.5.1.4.1.1.481.1,STANDARD_RT_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Ion Beams Treatment Record Storage,1.2.840.10008.5.1.4.1.1.481.9,STANDARD_RT_ION_BEAMS_TREAT,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Ion Plan Storage,1.2.840.10008.5.1.4.1.1.481.8,STANDARD_RT_ION_PLAN,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Plan Storage,1.2.840.10008.5.1.4.1.1.481.5,STANDARD_RT_PLAN,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Structure Set Storage,1.2.840.10008.5.1.4.1.1.481.3,STANDARD_RT_STRUCTURE_SET,"C-STORE-RQ,C-STORE-RSP"
B.5,RT Treatment Summary Record Storage,1.2.840.10008.5.1.4.1.1.481.7,STANDARD_RT_TREAT_SUM,"C-STORE-RQ,C-STORE-RSP"
B.5,Radiopharmaceutical Radiation Dose SR Storage,1.2.840.10008.5.1.4.1.1.88.68,RADIOPHARMACEUTICAL_RADIATION_DOSE_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,Raw Data Storage,1.2.840.10008.5.1.4.1.1.66,RAW_DATA,"C-STORE-RQ,C-STORE-RSP"
B.5,Real World Value Mapping Storage,1.2.840.10008.5.1.4.1.1.67,REAL_WORLD_VALUE_MAPPING,"C-STORE-RQ,C-STORE-RSP"
B.5,Respiratory Waveform Storage,1.2.840.10008.5.1.4.1.1.9.6.1,RESPIRATORY_WAVEFORM,"C-STORE-RQ,C-STORE-RSP"
EE.2.3,SOP Class UID of the Display System SOP class,1.2.840.10008.5.1.1.40,DISPLAY_SYSTEM,"N-GET-RQ,N-GET-RSP"
B.5,Secondary Capture Image Storage,1.2.840.10008.5.1.4.1.1.7,STANDARD_SEC_CAPTURE,"C-STORE-RQ,C-STORE-RSP"
B.5,Segmentation Storage,1.2.840.10008.5.1.4.1.1.66.4,SEGMENTATION,"C-STORE-RQ,C-STORE-RSP"
B.5,Spatial Fiducials Storage,1.2.840.10008.5.1.4.1.1.66.2,SPATIAL_FIDUCIALS,"C-STORE-RQ,C-STORE-RSP"
B.5,Spatial Registration Storage,1.2.840.10008.5.1.4.1.1.66.1,SPATIAL_REGISTRATION,"C-STORE-RQ,C-STORE-RSP"
B.5,Spectacle Prescription Report Storage,1.2.840.10008.5.1.4.1.1.78.6,SPECTACLE_PRESCRIPTION_REPORT,"C-STORE-RQ,C-STORE-RSP"
B.5,Stereometric Relationship Storage,1.2.840.10008.5.1.4.1.1.77.1.5.3,STEREOMETRIC_RELATIONSHIP,"C-STORE-RQ,C-STORE-RSP"
J.3.4,Storage Commitment Push Model SOP Class,1.2.840.10008.1.20.1,STORAGE_COMMITMENT_PUSH,"N-EVENT-REPORT-RQ,N-EVENT-REPORT-RSP,N-ACTION-RQ,N-ACTION-RSP"
C.6.2.3,Study Root Query/Retrieve Information Model - FIND,1.2.840.10008.5.1.4.1.2.2.1,STUDY_ROOT_QR_FIND,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
C.6.2.3,Study Root Query/Retrieve Information Model - GET,1.2.840.10008.5.1.4.1.2.2.3,STUDY_ROOT_QR_GET,"C-GET-RQ,C-GET-RSP,C-CANCEL-GET-RQ"
C.6.2.3,Study Root Query/Retrieve Information Model - MOVE,1.2.840.10008.5.1.4.1.2.2.2,STUDY_ROOT_QR_MOVE,"C-MOVE-RQ,C-MOVE-RSP,C-CANCEL-MOVE-RQ"
B.5,Subjective Refraction Measurements Storage,1.2.840.10008.5.1.4.1.1.78.4,SUBJ_REFRACTION_MEASUREMENTS,"C-STORE-RQ,C-STORE-RSP"
